"2018/07/04 11:19:19 p. m. GMT-5","3","2","2","1","4","4","4","4","4","4","2","5","3","4","3","4","3","2","3","2","2","3","1","1"
"2018/07/04 11:30:20 p. m. GMT-5","5","3","4","1","2","3","4","1","5","3","1","1","4","2","3","3","4","2","2","4","4","5","1","1"
"2018/07/04 11:32:04 p. m. GMT-5","3","2","2","4","2","5","4","1","5","5","2","5","2","4","2","4","5","3","3","1","4","5","4","5"
"2018/07/05 3:10:57 p. m. GMT-5","1","5","1","5","1","1","5","1","5","1","5","1","5","1","5","1","1","5","5","1","1","1","1","5"
"2018/07/05 3:10:58 p. m. GMT-5","1","3","3","3","3","3","5","3","3","3","3","2","3","5","3","4","3","3","3","3","1","5","3","2"
"2018/07/05 3:12:15 p. m. GMT-5","3","4","3","2","5","4","4","3","5","2","5","3","3","4","2","5","2","5","4","4","2","4","3","4"
"2018/07/05 3:12:54 p. m. GMT-5","5","3","4","2","4","5","5","3","5","3","4","4","2","5","3","4","3","4","4","2","3","4","3","2"
"2018/07/05 3:14:47 p. m. GMT-5","5","3","2","4","5","3","4","3","3","3","4","3","4","5","4","5","5","5","4","5","3","5","4","5"
"2018/07/05 3:15:09 p. m. GMT-5","5","2","5","2","4","3","4","4","5","4","4","2","4","5","2","4","4","2","3","4","2","5","2","4"
"2018/07/05 3:19:10 p. m. GMT-5","3","4","3","5","2","4","4","3","3","2","4","5","5","4","3","5","5","4","2","1","3","3","2","2"
"2018/07/05 3:19:48 p. m. GMT-5","4","4","5","3","5","5","3","3","4","3","5","4","5","5","4","5","2","4","4","2","2","2","1","2"
"2018/07/05 3:25:19 p. m. GMT-5","2","5","5","5","1","5","2","5","4","4","5","5","4","5","2","5","5","3","3","1","1","4","4","2"
"2018/07/05 3:25:50 p. m. GMT-5","5","2","3","2","4","5","3","4","4","4","5","4","5","5","2","5","4","3","4","2","2","4","2","4"
"2018/07/05 3:31:18 p. m. GMT-5","2","3","1","5","4","5","5","2","3","3","5","1","5","5","1","5","5","3","5","5","3","5","5","2"
"2018/07/05 3:37:23 p. m. GMT-5","1","2","1","1","5","3","3","1","3","1","1","5","3","3","3","3","5","1","5","1","5","5","1","1"
"2018/07/05 4:00:21 p. m. GMT-5","2","1","4","1","3","5","3","2","4","5","1","3","4","5","1","5","2","4","3","3","4","2","1","4"
"2018/07/05 4:05:25 p. m. GMT-5","3","4","5","1","4","5","3","1","5","3","1","1","2","2","1","5","2","3","5","4","2","5","3","3"
"2018/07/05 4:20:57 p. m. GMT-5","2","2","4","1","5","4","4","3","2","5","5","5","5","5","3","5","5","2","5","1","3","5","3","5"
"2018/07/05 4:31:11 p. m. GMT-5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2018/07/05 5:18:34 p. m. GMT-5","4","5","5","3","2","5","5","3","5","3","4","3","5","5","2","5","2","5","3","4","2","5","5","2"
"2018/07/05 5:46:52 p. m. GMT-5","4","2","5","3","5","5","3","5","4","4","5","3","4","4","1","4","2","3","4","4","2","4","1","2"
"2018/07/05 6:23:26 p. m. GMT-5","3","5","5","1","3","5","5","4","5","5","5","3","4","5","3","5","5","4","5","5","1","3","4","5"
"2018/07/05 6:28:48 p. m. GMT-5","5","4","3","5","4","5","4","3","5","2","3","5","3","4","1","5","5","4","4","1","3","4","4","5"
"2018/07/05 6:52:03 p. m. GMT-5","2","1","3","4","2","5","5","3","5","4","1","5","5","4","2","4","5","2","3","1","1","4","2","4"
"2018/07/05 6:57:18 p. m. GMT-5","1","1","5","1","5","1","5","5","1","5","1","5","1","1","5","1","1","1","5","3","5","1","1","1"
"2018/07/05 7:12:36 p. m. GMT-5","3","5","3","2","5","3","4","3","2","2","4","4","3","4","4","3","1","1","4","2","2","5","1","2"
"2018/07/05 7:14:22 p. m. GMT-5","3","2","4","4","2","1","3","1","1","3","1","1","5","4","5","4","3","3","5","3","5","3","5","5"
"2018/07/05 7:28:19 p. m. GMT-5","1","3","3","1","3","4","4","3","2","1","4","3","3","2","2","3","1","2","4","1","1","4","1","3"
"2018/07/05 8:13:22 p. m. GMT-5","4","4","2","1","3","4","4","4","3","3","5","2","5","5","2","4","2","2","4","2","3","5","3","3"
"2018/07/05 8:16:10 p. m. GMT-5","5","2","5","5","3","5","5","3","5","3","5","3","5","5","2","5","5","5","5","3","1","4","5","3"
"2018/07/05 8:18:20 p. m. GMT-5","2","4","2","1","4","3","4","2","5","3","5","1","5","5","3","3","5","2","4","5","1","4","5","2"
"2018/07/05 8:53:37 p. m. GMT-5","5","1","4","3","1","5","5","1","3","5","5","2","5","3","3","3","5","5","5","5","3","3","1","1"
"2018/07/05 10:13:19 p. m. GMT-5","3","3","5","3","2","5","3","4","4","5","3","4","5","5","2","4","4","5","4","2","3","4","2","4"
"2018/07/05 10:39:31 p. m. GMT-5","4","2","3","2","2","3","4","4","3","4","3","4","4","4","3","2","4","4","3","4","4","4","4","3"
"2018/07/05 10:51:30 p. m. GMT-5","4","5","4","5","4","3","5","3","3","3","4","5","5","5","5","3","5","5","4","3","3","5","5","3"
"2018/07/05 10:57:21 p. m. GMT-5","1","5","5","5","5","2","3","5","4","2","3","5","2","4","5","5","5","3","4","1","5","5","4","5"